topology,claim,panel,n_facts,novel,held,adopted,adopted_share,adopted_share_recv,reception,held_share,nestedness,reach,flow_gini,delivery_use,deliveries,n_agents,meta_share,balance
full,233,stance,81,90,16,14,0.11666666666666667,0.15555555555555556,0.6666666666666666,0.13333333333333333,0.2703907203907204,1.2839506172839505,0.43333333333333335,0.6666666666666666,12,3,0.345679012345679,0.8679245283018868
full,261,lenses,99,110,7,17,0.12686567164179105,0.17,0.6666666666666666,0.05223880597014925,0.2575900900900901,1.2828282828282829,0.4473684210526316,0.6666666666666666,12,3,0.3434343434343434,0.676923076923077
full,261,neutral,46,52,11,15,0.19230769230769232,0.2830188679245283,0.6666666666666666,0.14102564102564102,0.43525334314807995,1.4565217391304348,0.2708333333333333,0.6666666666666666,12,3,0.30434782608695654,0.75
full,261,stance,77,84,13,3,0.03,0.04838709677419355,0.6666666666666666,0.13,0.13954663693794128,1.12987012987013,0.7222222222222222,0.25,12,3,0.22077922077922077,0.8333333333333334
full,434,lenses,129,133,3,14,0.09333333333333334,0.13725490196078433,0.6666666666666666,0.02,0.1452751266643101,1.1395348837209303,0.30952380952380953,0.8333333333333334,12,3,0.3875968992248062,0.9873417721518988
full,434,neutral,74,84,23,19,0.15079365079365079,0.2235294117647059,0.6666666666666666,0.18253968253968253,0.3768762677484787,1.3918918918918919,0.18181818181818182,0.8333333333333334,12,3,0.35135135135135137,0.75
full,434,stance,126,134,12,14,0.0875,0.12612612612612611,0.6666666666666666,0.075,0.18353853169174647,1.1746031746031746,0.46296296296296297,0.6666666666666666,12,3,0.36507936507936506,0.975
full,578,lenses,109,122,14,12,0.08108108108108109,0.1188118811881188,0.6666666666666666,0.0945945945945946,0.22839506172839505,1.2293577981651376,0.0641025641025641,0.75,12,3,0.28440366972477066,0.7948717948717949
full,578,neutral,97,107,19,19,0.1310344827586207,0.18627450980392157,0.6666666666666666,0.1310344827586207,0.2778461959496442,1.2989690721649485,0.3787878787878788,0.75,12,3,0.1958762886597938,0.7692307692307692
full,578,stance,91,99,24,13,0.09558823529411764,0.13829787234042554,0.6666666666666666,0.17647058823529413,0.23824706176544136,1.2307692307692308,0.4444444444444444,0.6666666666666666,12,3,0.25274725274725274,0.8235294117647058
full,697,lenses,84,90,10,12,0.10714285714285714,0.16,0.6666666666666666,0.08928571428571429,0.2219538591489811,1.2142857142857142,0.16666666666666666,0.6666666666666666,12,3,0.20238095238095238,0.3880597014925373
full,697,neutral,45,53,13,3,0.043478260869565216,0.06818181818181818,0.6666666666666666,0.18840579710144928,0.2687708855472013,1.2444444444444445,0.3333333333333333,0.3333333333333333,12,3,0.13333333333333333,0.2564102564102564
full,697,stance,59,64,5,3,0.041666666666666664,0.0625,0.6666666666666666,0.06944444444444445,0.1707875457875458,1.1355932203389831,0.3333333333333333,0.3333333333333333,12,3,0.1016949152542373,0.26415094339622647
full,823,lenses,98,102,11,18,0.13740458015267176,0.21686746987951808,0.6666666666666666,0.08396946564885496,0.23337365249129954,1.2244897959183674,0.2777777777777778,0.8333333333333334,12,3,0.25510204081632654,0.4383561643835616
full,823,neutral,71,75,16,23,0.20175438596491227,0.2911392405063291,0.6666666666666666,0.14035087719298245,0.35937985399192296,1.380281690140845,0.18055555555555555,0.9166666666666666,12,3,0.39436619718309857,0.6976744186046512
full,823,stance,91,99,23,18,0.12857142857142856,0.18556701030927836,0.6666666666666666,0.16428571428571428,0.30197444831591175,1.2857142857142858,0.34057971014492755,0.6666666666666666,12,3,0.13186813186813187,0.5569620253164558
full,857,lenses,100,111,15,9,0.06666666666666667,0.10465116279069768,0.6666666666666666,0.1111111111111111,0.19854961344323047,1.2,0.6111111111111112,0.4166666666666667,12,3,0.73,0.5925925925925926
full,857,neutral,76,84,12,5,0.04950495049504951,0.0847457627118644,0.6666666666666666,0.1188118811881188,0.2427777777777778,1.1710526315789473,0.5,0.3333333333333333,12,3,0.5526315789473685,0.6470588235294117
full,857,stance,112,114,4,7,0.056,0.07954545454545454,0.6666666666666666,0.032,0.08523441427853193,1.0803571428571428,0.6428571428571429,0.3333333333333333,12,3,0.5625,0.5714285714285714
full,902,lenses,71,89,27,22,0.15942028985507245,0.1864406779661017,0.6666666666666666,0.1956521739130435,0.4962072905042776,1.5633802816901408,0.5,0.5833333333333334,12,3,0.7605633802816901,0.3529411764705882
full,902,neutral,91,105,22,19,0.13013698630136986,0.20430107526881722,0.6666666666666666,0.1506849315068493,0.32934378283215493,1.3626373626373627,0.2971014492753623,0.8333333333333334,12,3,0.37362637362637363,0.3508771929824561
full,902,stance,113,126,10,16,0.10526315789473684,0.16,0.6666666666666666,0.06578947368421052,0.24607487922705315,1.2566371681415929,0.32456140350877194,0.75,12,3,0.26548672566371684,0.8674698795180723
full,904,lenses,104,108,12,17,0.12408759124087591,0.18681318681318682,0.6666666666666666,0.08759124087591241,0.2097047152194211,1.2019230769230769,0.36666666666666664,0.8333333333333334,12,3,0.2403846153846154,0.15189873417721522
full,904,neutral,63,69,9,17,0.17894736842105263,0.2537313432835821,0.6666666666666666,0.09473684210526316,0.3365335381464414,1.3650793650793651,0.41228070175438597,0.5,12,3,0.07936507936507936,0.1724137931034483
full,904,stance,86,99,23,28,0.18666666666666668,0.28865979381443296,0.6666666666666666,0.15333333333333332,0.4251151869572922,1.4767441860465116,0.23737373737373738,1.0,12,3,0.16279069767441862,0.2777777777777778
star,171,lenses,139,149,13,19,0.10497237569060773,0.14960629921259844,0.6666666666666666,0.0718232044198895,0.21341049382716049,1.20863309352518,0.125,1.0,8,3,0.3237410071942446,0.19148936170212771
star,171,neutral,94,110,26,18,0.11688311688311688,0.1592920353982301,0.6666666666666666,0.16883116883116883,0.351010101010101,1.3617021276595744,0.11842105263157894,0.875,8,3,0.5851063829787234,0.5128205128205128
star,171,stance,94,99,4,3,0.02830188679245283,0.04411764705882353,0.6666666666666666,0.03773584905660377,0.0888047138047138,1.0851063829787233,0.5833333333333334,0.375,8,3,0.26595744680851063,0.5217391304347826
star,221,lenses,81,88,7,13,0.12037037037037036,0.18571428571428572,0.6666666666666666,0.06481481481481481,0.2538919413919414,1.2469135802469136,0.25,0.5,8,3,0.2222222222222222,0.6031746031746033
star,221,neutral,86,98,15,5,0.0423728813559322,0.05154639175257732,0.6666666666666666,0.1271186440677966,0.20148148148148148,1.197674418604651,0.35,0.5,8,3,0.19767441860465115,0.8405797101449275
star,221,stance,142,151,19,10,0.05555555555555555,0.07874015748031496,0.6666666666666666,0.10555555555555556,0.14709411473000017,1.1338028169014085,0.35,0.625,8,3,0.15492957746478872,0.6833333333333333
star,229,lenses,67,71,16,9,0.09375,0.16363636363636364,0.6666666666666666,0.16666666666666666,0.20544750158127767,1.1940298507462686,0.19444444444444445,0.75,8,3,0.5671641791044776,0.27586206896551724
star,229,neutral,56,62,12,11,0.12941176470588237,0.1896551724137931,0.6666666666666666,0.1411764705882353,0.30059044551798175,1.3035714285714286,0.20833333333333334,0.875,8,3,0.3392857142857143,0.21621621621621623
star,229,stance,107,117,4,4,0.032,0.04938271604938271,0.6666666666666666,0.032,0.1397086252446434,1.1308411214953271,0.625,0.375,8,3,0.5514018691588785,0.33333333333333337
star,233,lenses,61,70,11,8,0.0898876404494382,0.1509433962264151,0.6666666666666666,0.12359550561797752,0.2781524926686217,1.278688524590164,0.19444444444444445,0.625,8,3,0.14754098360655737,0.5384615384615384
star,233,neutral,37,51,19,8,0.10256410256410256,0.16666666666666666,0.6666666666666666,0.24358974358974358,0.5334948624758828,1.5945945945945945,0.1875,0.625,8,3,0.8918918918918919,0.0
star,233,stance,63,70,12,13,0.1368421052631579,0.18055555555555555,0.6666666666666666,0.12631578947368421,0.3145593869731801,1.3174603174603174,0.2857142857142857,0.75,8,3,0.30158730158730157,0.7272727272727273
star,261,lenses,61,69,4,6,0.0759493670886076,0.08450704225352113,0.6666666666666666,0.05063291139240506,0.25101318902710423,1.2295081967213115,0.6666666666666666,0.25,8,3,0.11475409836065574,0.37037037037037035
star,261,neutral,115,117,9,5,0.03816793893129771,0.05319148936170213,0.6666666666666666,0.06870229007633588,0.0735632183908046,1.0608695652173914,0.55,0.25,8,3,0.1565217391304348,0.41237113402061853
star,261,stance,59,66,5,10,0.12345679012345678,0.20833333333333334,0.6666666666666666,0.06172839506172839,0.3119438264738599,1.2881355932203389,0.25,0.625,8,3,0.11864406779661017,0.6153846153846154
star,434,lenses,99,108,1,3,0.026785714285714284,0.0967741935483871,0.4444444444444444,0.008928571428571428,0.13259221398756282,1.121212121212121,0.75,0.125,8,3,0.4444444444444444,0.8727272727272728
star,434,neutral,96,109,12,10,0.07633587786259542,0.09900990099009901,0.6666666666666666,0.0916030534351145,0.2441860465116279,1.2395833333333333,0.3,0.625,8,3,0.3229166666666667,0.8615384615384616
star,434,stance,141,151,10,9,0.052941176470588235,0.08181818181818182,0.6666666666666666,0.058823529411764705,0.15260362243120865,1.1347517730496455,0.4166666666666667,0.625,8,3,0.2978723404255319,0.7272727272727273
star,578,lenses,93,105,12,9,0.07142857142857142,0.125,0.6666666666666666,0.09523809523809523,0.21115567439096852,1.2258064516129032,0.5833333333333334,0.375,8,3,0.3118279569892473,0.75
star,578,neutral,84,95,20,19,0.1417910447761194,0.1919191919191919,0.6666666666666666,0.14925373134328357,0.34397348683062967,1.3571428571428572,0.225,1.0,8,3,0.5,0.9523809523809523
star,578,stance,92,107,21,11,0.07913669064748201,0.1134020618556701,0.6666666666666666,0.1510791366906475,0.28038410486145676,1.2826086956521738,0.38636363636363635,0.75,8,3,0.3695652173913043,0.9655172413793104
star,697,lenses,68,72,4,18,0.19148936170212766,0.23684210526315788,0.6666666666666666,0.0425531914893617,0.29756944444444444,1.3235294117647058,0.19444444444444445,0.625,8,3,0.16176470588235295,0.14035087719298245
star,697,neutral,63,70,9,8,0.09195402298850575,0.13333333333333333,0.6666666666666666,0.10344827586206896,0.255050505050505,1.2380952380952381,0.3125,0.625,8,3,0.42857142857142855,0.33333333333333337
star,697,stance,62,67,9,8,0.09523809523809523,0.16,0.6666666666666666,0.10714285714285714,0.20087976539589442,1.2096774193548387,0.3125,0.75,8,3,0.20967741935483872,0.4897959183673469
star,823,lenses,92,101,17,12,0.09230769230769231,0.13636363636363635,0.6666666666666666,0.13076923076923078,0.2588894654903996,1.2282608695652173,0.25,0.625,8,3,0.1956521739130435,0.2702702702702703
star,823,neutral,69,78,11,13,0.12745098039215685,0.20634920634920634,0.6666666666666666,0.10784313725490197,0.33210649000122683,1.318840579710145,0.3269230769230769,0.75,8,3,0.463768115942029,0.8648648648648649
star,823,stance,107,111,14,11,0.08088235294117647,0.11827956989247312,0.6666666666666666,0.10294117647058823,0.1333584715937657,1.1401869158878504,0.3409090909090909,0.625,8,3,0.22429906542056074,0.4819277108433735
star,857,lenses,116,117,2,5,0.04032258064516129,0.08333333333333333,0.4444444444444444,0.016129032258064516,0.06240200412614206,1.0517241379310345,0.35,0.375,8,3,0.5775862068965517,0.12244897959183676
star,857,neutral,85,93,15,13,0.10743801652892562,0.18840579710144928,0.6666666666666666,0.12396694214876033,0.24185363247863248,1.2470588235294118,0.32142857142857145,0.75,8,3,0.8,0.9411764705882353
star,857,stance,121,130,11,11,0.07236842105263158,0.125,0.6666666666666666,0.07236842105263158,0.18644688644688645,1.165289256198347,0.5681818181818182,0.5,8,3,0.35537190082644626,0.4358974358974359
star,902,lenses,104,115,17,15,0.10204081632653061,0.1724137931034483,0.6666666666666666,0.11564625850340136,0.2414356547216588,1.25,0.25,0.625,8,3,0.6442307692307693,0.21621621621621623
star,902,neutral,87,102,8,16,0.12698412698412698,0.21333333333333335,0.6666666666666666,0.06349206349206349,0.33092128178335073,1.3563218390804597,0.36764705882352944,0.625,8,3,0.7126436781609196,0.72
star,902,stance,112,117,4,9,0.06923076923076923,0.08653846153846154,0.6666666666666666,0.03076923076923077,0.1334407908875994,1.125,0.25,0.625,8,3,0.6339285714285714,0.975609756097561
star,904,lenses,61,72,21,23,0.19827586206896552,0.3194444444444444,0.6666666666666666,0.1810344827586207,0.5105534105534105,1.5573770491803278,0.125,1.0,8,3,0.19672131147540983,0.326530612244898
star,904,neutral,79,89,16,14,0.11764705882352941,0.1794871794871795,0.6666666666666666,0.13445378151260504,0.29678362573099415,1.3037974683544304,0.2833333333333333,0.75,8,3,0.17721518987341772,0.2153846153846154
star,904,stance,92,96,11,3,0.02727272727272727,0.03614457831325301,0.6666666666666666,0.1,0.08605151287821955,1.076086956521739,0.5833333333333334,0.25,8,3,0.17391304347826086,0.368421052631579
