execution_id,case_id,condition,source_round,sender,receiver,source_n,target_n,equivalent_n,equivalent_rate,weaken_n,weaken_rate,strengthen_n,strengthen_rate,related_n,related_rate,screened_equivalent_n,screened_equivalent_rate,screened_weaken_n,screened_weaken_rate,screened_strengthen_n,screened_strengthen_rate,screened_related_n,screened_related_rate
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,2,C,A,73,82,6,0.07317073170731707,8,0.0975609756097561,19,0.23170731707317074,32,0.3902439024390244,5,0.06097560975609756,7,0.08536585365853659,18,0.21951219512195122,30,0.36585365853658536
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,2,C,B,73,38,5,0.13157894736842105,3,0.07894736842105263,17,0.4473684210526316,24,0.631578947368421,3,0.07894736842105263,3,0.07894736842105263,12,0.3157894736842105,17,0.4473684210526316
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,1,A,B,36,43,4,0.09302325581395349,11,0.2558139534883721,3,0.06976744186046512,17,0.3953488372093023,0,0.0,8,0.18604651162790697,2,0.046511627906976744,10,0.23255813953488372
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,1,A,C,36,39,5,0.1282051282051282,7,0.1794871794871795,1,0.02564102564102564,11,0.28205128205128205,3,0.07692307692307693,5,0.1282051282051282,0,0.0,8,0.20512820512820512
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,1,B,A,57,28,8,0.2857142857142857,2,0.07142857142857142,7,0.25,15,0.5357142857142857,2,0.07142857142857142,2,0.07142857142857142,4,0.14285714285714285,7,0.25
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,1,B,C,57,39,4,0.10256410256410256,11,0.28205128205128205,6,0.15384615384615385,20,0.5128205128205128,3,0.07692307692307693,11,0.28205128205128205,3,0.07692307692307693,16,0.41025641025641024
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,1,C,A,44,28,4,0.14285714285714285,1,0.03571428571428571,7,0.25,11,0.39285714285714285,2,0.07142857142857142,0,0.0,4,0.14285714285714285,6,0.21428571428571427
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,1,C,B,44,43,5,0.11627906976744186,2,0.046511627906976744,10,0.23255813953488372,16,0.37209302325581395,3,0.06976744186046512,2,0.046511627906976744,4,0.09302325581395349,9,0.20930232558139536
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,2,A,B,28,42,11,0.2619047619047619,4,0.09523809523809523,5,0.11904761904761904,19,0.4523809523809524,2,0.047619047619047616,1,0.023809523809523808,2,0.047619047619047616,5,0.11904761904761904
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,2,A,C,28,42,8,0.19047619047619047,7,0.16666666666666666,3,0.07142857142857142,17,0.40476190476190477,2,0.047619047619047616,2,0.047619047619047616,3,0.07142857142857142,7,0.16666666666666666
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,2,B,A,43,40,10,0.25,10,0.25,10,0.25,26,0.65,3,0.075,7,0.175,3,0.075,12,0.3
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,2,B,C,43,42,8,0.19047619047619047,13,0.30952380952380953,5,0.11904761904761904,25,0.5952380952380952,3,0.07142857142857142,8,0.19047619047619047,4,0.09523809523809523,15,0.35714285714285715
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,2,C,A,39,40,6,0.15,4,0.1,14,0.35,22,0.55,3,0.075,3,0.075,8,0.2,12,0.3
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,2,C,B,39,42,5,0.11904761904761904,6,0.14285714285714285,12,0.2857142857142857,21,0.5,1,0.023809523809523808,1,0.023809523809523808,9,0.21428571428571427,10,0.23809523809523808
