execution_id,case_id,condition,round,pair,n_i,n_j,cluster_jaccard,equivalent_coverage,related_coverage
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,3,AC,30,27,0.07547169811320754,0.14074074074074072,0.38888888888888884
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,3,BC,34,27,0.07017543859649122,0.1328976034858388,0.34694989106753815
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,1,AB,23,24,0.021739130434782608,0.08514492753623187,0.4030797101449275
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,1,AC,23,0,0.0,,
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,1,BC,24,0,0.0,,
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,2,AB,30,37,0.015151515151515152,0.03018018018018018,0.13423423423423425
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,2,AC,30,30,0.05263157894736842,0.1,0.18333333333333335
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,2,BC,37,30,0.03076923076923077,0.09054054054054055,0.30180180180180183
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,3,AB,41,31,0.058823529411764705,0.11329661683713611,0.3682140047206924
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,3,AC,41,22,0.05,0.06984478935698449,0.5099778270509978
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,3,BC,31,22,0.08163265306122448,0.24926686217008798,0.5212609970674487
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,1,AB,24,20,0.047619047619047616,0.0,0.29166666666666663
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,1,AC,24,7,0.10714285714285714,0.2767857142857143,0.2767857142857143
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,1,BC,20,7,0.125,0.19285714285714284,0.4357142857142857
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,2,AB,24,25,0.1951219512195122,0.30583333333333335,0.51
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,2,AC,24,28,0.15555555555555556,0.15476190476190477,0.49702380952380953
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,2,BC,25,28,0.1276595744680851,0.13142857142857142,0.47214285714285714
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,3,AB,30,19,0.08888888888888889,0.12894736842105264,0.6017543859649123
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,3,AC,30,18,0.09090909090909091,0.13333333333333333,0.5555555555555556
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,3,BC,19,18,0.27586206896551724,0.48684210526315785,0.7017543859649122
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,1,AB,29,28,0.11764705882352941,0.2456896551724138,0.4562807881773399
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,1,AC,29,17,0.06976744186046512,0.13995943204868155,0.3904665314401623
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,1,BC,28,17,0.15384615384615385,0.28361344537815125,0.42542016806722693
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,2,AB,35,27,0.06896551724137931,0.1312169312169312,0.23968253968253966
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,2,AC,35,26,0.05172413793103448,0.11483516483516484,0.24395604395604395
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,2,BC,27,26,0.06,0.11324786324786325,0.47150997150997154
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,3,AB,40,27,0.13559322033898305,0.22962962962962963,0.6273148148148149
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,3,AC,40,36,0.08571428571428572,0.13333333333333333,0.6194444444444445
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,3,BC,27,36,0.08620689655172414,0.20833333333333331,0.6712962962962963
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,1,AB,21,21,0.0,0.45238095238095233,0.6190476190476191
