execution_id,case_id,condition,EQUIVALENT,A_ENTAILS_B,B_ENTAILS_A,UNRELATED,oneway_share_related,oneway_peer_weaken,oneway_peer_strengthen,weaken_target_rate,strengthen_target_rate,threshold
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,190,186,142,1816,0.6332046332046332,80,77,0.2736842105263158,0.2736842105263158,5.28
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,160,165,135,1874,0.6521739130434783,72,72,0.24736842105263157,0.2631578947368421,7.92
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,125,143,116,1950,0.6744791666666666,55,59,0.2,0.22105263157894736,10.56
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,201,205,267,1384,0.7013372956909361,83,122,0.30538922155688625,0.41916167664670656,0.0
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,162,188,240,1467,0.7254237288135593,71,115,0.2754491017964072,0.41317365269461076,2.64
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,127,162,211,1557,0.746,59,106,0.24550898203592814,0.3652694610778443,5.28
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,111,128,162,1656,0.7231920199501247,53,85,0.2275449101796407,0.31736526946107785,7.92
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,86,95,131,1745,0.7243589743589743,47,65,0.20359281437125748,0.2694610778443114,10.56
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,131,131,166,1231,0.6939252336448598,41,63,0.18181818181818182,0.2606060606060606,0.0
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,107,107,158,1287,0.7123655913978495,42,50,0.1696969696969697,0.22424242424242424,2.64
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,92,97,143,1327,0.7228915662650602,42,44,0.1696969696969697,0.2,5.28
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,81,82,121,1375,0.7147887323943662,34,32,0.13333333333333333,0.1393939393939394,7.92
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,71,64,100,1424,0.6978723404255319,32,28,0.1393939393939394,0.12727272727272726,10.56
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,193,216,161,1273,0.6614035087719298,67,58,0.2376237623762376,0.19306930693069307,0.0
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,148,189,148,1358,0.6948453608247422,57,52,0.20297029702970298,0.17326732673267325,2.64
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,114,162,139,1428,0.7253012048192771,50,53,0.1782178217821782,0.17326732673267325,5.28
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,88,136,130,1489,0.751412429378531,46,45,0.16831683168316833,0.15346534653465346,7.92
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,64,114,101,1564,0.7706093189964157,36,42,0.13861386138613863,0.1485148514851485,10.56
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,269,210,234,904,0.6227208976157083,87,111,0.3291139240506329,0.3987341772151899,0.0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,223,195,212,987,0.6460317460317461,84,107,0.2911392405063291,0.3670886075949367,2.64
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,202,172,192,1051,0.6431095406360424,71,96,0.25316455696202533,0.33544303797468356,5.28
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,176,160,181,1100,0.6595744680851063,71,87,0.25949367088607594,0.33544303797468356,7.92
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,145,133,169,1170,0.6756152125279642,65,77,0.21518987341772153,0.3291139240506329,10.56
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,313,288,381,1145,0.6812627291242362,178,125,0.4523809523809524,0.3619047619047619,0.0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,267,251,336,1273,0.6873536299765808,150,105,0.3952380952380952,0.32857142857142857,2.64
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,205,246,309,1367,0.7302631578947368,138,98,0.3619047619047619,0.3047619047619048,5.28
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,168,222,278,1459,0.7485029940119761,124,83,0.32857142857142857,0.2904761904761905,7.92
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,123,198,244,1562,0.7823008849557522,113,75,0.29523809523809524,0.2714285714285714,10.56
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,240,167,280,962,0.6506550218340611,57,112,0.20212765957446807,0.39361702127659576,0.0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,198,162,262,1027,0.6816720257234726,54,99,0.19148936170212766,0.35638297872340424,2.64
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,160,140,253,1096,0.7106690777576854,48,86,0.18085106382978725,0.3191489361702128,5.28
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,127,142,222,1158,0.7413441955193483,41,83,0.1595744680851064,0.32978723404255317,7.92
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,88,131,192,1238,0.7858880778588808,41,69,0.15425531914893617,0.2925531914893617,10.56
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,211,193,270,1270,0.6869436201780416,59,88,0.225130890052356,0.3036649214659686,0.0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,172,176,238,1358,0.7064846416382252,55,82,0.225130890052356,0.2931937172774869,2.64
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,148,144,203,1449,0.701010101010101,47,67,0.193717277486911,0.2513089005235602,5.28
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,126,125,182,1511,0.7090069284064665,38,62,0.16230366492146597,0.225130890052356,7.92
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,76,109,165,1594,0.7828571428571428,32,56,0.1256544502617801,0.19895287958115182,10.56
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-49,full-generic,234,285,288,1607,0.7100371747211895,131,115,0.3574660633484163,0.3076923076923077,0.0
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-49,full-generic,196,268,274,1676,0.7344173441734417,126,109,0.35294117647058826,0.2986425339366516,2.64
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-49,full-generic,164,246,256,1748,0.7537537537537538,120,99,0.3393665158371041,0.28054298642533937,5.28
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-49,full-generic,142,236,232,1804,0.7672131147540984,110,91,0.3167420814479638,0.27149321266968324,7.92
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-49,full-generic,117,212,216,1869,0.7853211009174312,100,79,0.2895927601809955,0.24434389140271492,10.56
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-49,full-specialist,236,233,255,1681,0.6740331491712708,80,128,0.27450980392156865,0.35294117647058826,0.0
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-49,full-specialist,202,203,240,1760,0.6868217054263566,73,115,0.2549019607843137,0.3284313725490196,2.64
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-49,full-specialist,173,188,221,1823,0.7027491408934707,67,102,0.22549019607843138,0.29411764705882354,5.28
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-49,full-specialist,134,183,209,1879,0.7452471482889734,60,97,0.20588235294117646,0.2647058823529412,7.92
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-49,full-specialist,105,152,197,1951,0.7687224669603524,51,83,0.16666666666666666,0.23039215686274508,10.56
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-49,split-generic,171,193,212,1300,0.703125,37,123,0.12556053811659193,0.2825112107623318,0.0
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-49,split-generic,140,186,194,1356,0.7307692307692307,36,111,0.12556053811659193,0.26905829596412556,2.64
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-49,split-generic,111,178,186,1401,0.7663157894736842,29,107,0.10762331838565023,0.26905829596412556,5.28
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-49,split-generic,93,168,170,1445,0.7842227378190255,24,102,0.09865470852017937,0.25112107623318386,7.92
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-49,split-generic,77,147,157,1495,0.7979002624671916,21,89,0.08968609865470852,0.22869955156950672,10.56
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-49,split-specialist-aligned,194,208,179,1535,0.6660929432013769,62,95,0.18385650224215247,0.26905829596412556,0.0
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-49,split-specialist-aligned,145,201,167,1603,0.7173489278752436,57,87,0.17937219730941703,0.25112107623318386,2.64
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-49,split-specialist-aligned,122,172,147,1675,0.7233560090702947,48,77,0.15246636771300448,0.21524663677130046,5.28
