execution_id,case_id,condition,agent,round,scope,n,B,C,X,G,U,B_share,C_share,X_share,G_share,U_share,own_share,proposal_share
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,3,self,71,19,11,35,6,0,0.2676056338028169,0.15492957746478872,0.49295774647887325,0.08450704225352113,0.0,0.4014084507042254,0.7887323943661971
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,3,delivered,99,19,23,51,6,0,0.1919191919191919,0.23232323232323232,0.5151515151515151,0.06060606060606061,0.0,0.4898989898989899,0.7878787878787878
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,1,output,36,10,5,18,3,0,0.2777777777777778,0.1388888888888889,0.5,0.08333333333333333,0.0,,0.6944444444444444
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,1,input,32,22,10,0,0,0,0.6875,0.3125,0.0,0.0,0.0,,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,1,source,32,22,10,0,0,0,0.6875,0.3125,0.0,0.0,0.0,,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,1,peer,0,0,0,0,0,0,,,,,,,
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,1,self,0,0,0,0,0,0,,,,,,,
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,1,delivered,0,0,0,0,0,0,,,,,,,
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,2,output,52,9,15,25,3,0,0.17307692307692307,0.28846153846153844,0.4807692307692308,0.057692307692307696,0.0,,0.75
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,2,input,132,42,31,53,6,0,0.3181818181818182,0.23484848484848486,0.4015151515151515,0.045454545454545456,0.0,,0.5757575757575758
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,2,source,32,22,10,0,0,0,0.6875,0.3125,0.0,0.0,0.0,,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,2,peer,78,18,19,38,3,0,0.23076923076923078,0.24358974358974358,0.48717948717948717,0.038461538461538464,0.0,,0.7051282051282052
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,2,self,36,10,5,18,3,0,0.2777777777777778,0.1388888888888889,0.5,0.08333333333333333,0.0,,0.6944444444444444
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,2,delivered,78,18,19,38,3,0,0.23076923076923078,0.24358974358974358,0.48717948717948717,0.038461538461538464,0.0,,0.7051282051282052
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,3,output,40,5,12,18,5,0,0.125,0.3,0.45,0.125,0.0,,0.825
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,3,input,244,61,54,112,17,0,0.25,0.22131147540983606,0.45901639344262296,0.06967213114754098,0.0,,0.7131147540983607
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,3,source,32,22,10,0,0,0,0.6875,0.3125,0.0,0.0,0.0,,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,3,peer,157,35,31,80,11,0,0.2229299363057325,0.19745222929936307,0.5095541401273885,0.07006369426751592,0.0,,0.7898089171974523
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,3,self,79,14,18,41,6,0,0.17721518987341772,0.22784810126582278,0.5189873417721519,0.0759493670886076,0.0,,0.7721518987341772
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,3,delivered,93,21,18,46,8,0,0.22580645161290322,0.1935483870967742,0.4946236559139785,0.08602150537634409,0.0,,0.8064516129032258
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,1,output,43,18,10,11,4,0,0.4186046511627907,0.23255813953488372,0.2558139534883721,0.09302325581395349,0.0,0.5465116279069767,0.6046511627906976
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,1,input,32,22,10,0,0,0,0.6875,0.3125,0.0,0.0,0.0,0.6875,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,1,source,32,22,10,0,0,0,0.6875,0.3125,0.0,0.0,0.0,0.6875,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,1,peer,0,0,0,0,0,0,,,,,,,
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,1,self,0,0,0,0,0,0,,,,,,,
