execution_id,case_id,condition,output_facts,non_source_facts,eligible_facts,exact_dead_rate,equivalence_dead_rate,typed_dead_rate,rescued_dead,rescued_dead_rate,exact_spread_fanout,typed_spread_fanout,eligible_non_source,non_source_exact_spread,non_source_typed_spread,abstraction_meeting_points,specificity_meeting_points,profile_tv_r1,profile_tv_r2,profile_tv_r3,production_A,spread_credit_A,final_shared_credit_A,final_shared_credit_share_A,production_B,spread_credit_B,final_shared_credit_B,final_shared_credit_share_B,production_C,spread_credit_C,final_shared_credit_C,final_shared_credit_share_C,path_equivalent>equivalent,path_weaken>weaken,path_strengthen>strengthen,path_weaken>strengthen,path_strengthen>weaken,path_equivalent>weaken,path_weaken>equivalent,path_equivalent>strengthen,path_strengthen>equivalent,closed_weaken_strengthen,private_source_adoptions,all_peer_adoptions
idrbench-generation-idr-gen-level_1-8-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-8,full-specialist,232,231,170,0.8411764705882353,0.7764705882352941,0.45294117647058824,55,0.4166666666666667,1.1481481481481481,1.3548387096774193,170,27,93,9,23,0.11111111111111112,0.15339469120981725,0.2664208831256886,73.83333333333333,5.5,2.833333333333333,0.31481481481481477,86.33333333333333,9.5,3.833333333333333,0.4259259259259259,70.83333333333334,12.0,2.333333333333333,0.25925925925925924,14,0,12,21,25,6,6,23,7,8,0,31
idrbench-generation-idr-gen-level_1-8-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-8,split-generic,244,241,161,0.9130434782608695,0.8322981366459627,0.515527950310559,51,0.3805970149253731,1.2857142857142858,1.294871794871795,158,11,75,11,8,0.15384615384615383,0.10687157745981274,0.26824087956021986,85.83333333333333,4.5,1.8333333333333333,0.3055555555555555,78.83333333333333,4.0,1.3333333333333333,0.2222222222222222,76.33333333333333,2.5,2.833333333333333,0.47222222222222215,3,0,2,4,5,0,0,0,6,1,5,18
idrbench-generation-idr-gen-level_1-8-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-8,split-specialist-aligned,223,220,143,0.9230769230769231,0.8391608391608392,0.5314685314685315,44,0.36666666666666664,1.0909090909090908,1.2537313432835822,140,10,64,4,5,0.13553113553113552,0.3109790605546124,0.2022058823529412,81.5,1.5,1.5,0.375,82.5,6.0,1.5,0.375,56.0,2.5,1.0,0.25,2,0,5,3,2,2,5,0,0,0,2,12
idrbench-generation-idr-gen-level_1-9-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-9,full-generic,259,256,178,0.848314606741573,0.7808988764044944,0.3707865168539326,73,0.5251798561151079,1.1481481481481481,1.5,176,27,111,19,17,0.07823331352743118,0.13220502901353964,0.20495847729890285,96.66666666666666,12.5,6.666666666666666,0.4166666666666667,86.66666666666666,5.5,1.6666666666666665,0.10416666666666667,72.66666666666666,9.0,7.666666666666666,0.4791666666666667,14,15,18,65,17,16,27,19,11,8,0,31
idrbench-generation-idr-gen-level_1-9-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-9,full-specialist,224,220,164,0.8841463414634146,0.7439024390243902,0.3475609756097561,65,0.5327868852459017,1.1578947368421053,1.411214953271028,161,18,105,16,14,0.10055299539170508,0.20610798415676465,0.2520194402547344,84.5,3.0,1.0,0.3333333333333333,79.5,7.5,1.0,0.3333333333333333,56.0,7.5,1.0,0.3333333333333333,21,8,14,40,37,21,19,9,12,5,0,22
idrbench-generation-idr-gen-level_1-9-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-9,split-generic,273,271,165,0.8727272727272727,0.8181818181818182,0.44242424242424244,62,0.45925925925925926,1.1428571428571428,1.326086956521739,163,21,90,7,4,0.4,0.17394052215480788,0.17087542087542087,94.5,11.0,3.5,0.3888888888888889,93.0,7.5,4.5,0.5,83.5,2.5,1.0,0.1111111111111111,7,0,0,8,11,5,0,3,3,4,0,24
idrbench-generation-idr-gen-level_1-9-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-9,split-specialist-aligned,227,222,151,0.8940397350993378,0.8278145695364238,0.5298013245033113,45,0.36,1.25,1.295774647887324,147,12,67,3,2,0.38486312399355876,0.2823995472552348,0.2727429433311786,105.0,4.0,0.5,0.1,53.0,2.0,1.5,0.3,64.0,6.0,3.0,0.6,8,0,27,12,9,7,5,6,6,3,7,20
idrbench-generation-idr-gen-level_1-92-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-92,full-generic,333,329,232,0.8879310344827587,0.771551724137931,0.3275862068965517,103,0.5754189944134078,1.3461538461538463,1.435897435897436,231,25,155,11,19,0.08591659841659842,0.17993229195414986,0.17431702267333232,125.16666666666666,9.5,5.333333333333333,0.4848484848484848,109.66666666666667,6.0,2.833333333333333,0.25757575757575757,94.16666666666666,9.5,2.833333333333333,0.25757575757575757,27,4,12,28,44,5,10,27,31,2,0,35
idrbench-generation-idr-gen-level_1-92-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-92,full-specialist,320,315,232,0.8189655172413793,0.7327586206896551,0.3103448275862069,98,0.5764705882352941,1.2380952380952381,1.4125,231,41,159,12,24,0.09950789950789947,0.15554561717352416,0.20598615332657885,117.16666666666667,21.5,9.5,0.5277777777777778,96.66666666666667,12.0,5.5,0.3055555555555556,101.16666666666667,7.5,3.0,0.16666666666666666,28,5,14,24,37,6,17,30,56,8,0,52
idrbench-generation-idr-gen-level_1-92-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-92,split-generic,261,255,180,0.8833333333333333,0.8388888888888889,0.6111111111111112,41,0.271523178807947,1.4285714285714286,1.542857142857143,175,18,66,5,4,0.14464464464464463,0.16516383345651636,0.27922705314009666,95.83333333333334,4.0,2.3333333333333335,0.1794871794871795,70.83333333333334,4.5,4.333333333333333,0.3333333333333333,88.33333333333334,9.5,6.333333333333333,0.48717948717948717,20,4,2,16,9,9,8,7,18,2,6,30
idrbench-generation-idr-gen-level_1-92-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-92,split-specialist-aligned,259,252,171,0.9005847953216374,0.847953216374269,0.6549707602339181,33,0.22758620689655173,1.3529411764705883,1.3898305084745763,164,12,53,1,6,0.2727272727272727,0.14224048800661704,0.2607511283043198,88.83333333333334,3.0,1.3333333333333333,0.3333333333333333,81.33333333333334,6.0,1.3333333333333333,0.3333333333333333,81.83333333333333,3.0,1.3333333333333333,0.3333333333333333,10,3,4,22,3,4,17,6,5,3,9,23
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-95,full-generic,298,296,213,0.892018779342723,0.7793427230046949,0.4272300469483568,75,0.45180722891566266,1.0869565217391304,1.3934426229508197,212,23,121,5,16,0.04169712475633528,0.21559400323067268,0.2525729216658668,89.83333333333334,6.0,0,0.0,120.33333333333333,10.0,4.0,0.6666666666666666,85.83333333333334,7.0,2.0,0.3333333333333333,16,2,17,22,12,3,11,20,22,3,0,25
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-95,full-specialist,277,277,219,0.8721461187214612,0.7671232876712328,0.4292237442922374,74,0.44047619047619047,1.1785714285714286,1.32,219,28,125,7,18,0.1166056166056166,0.20317460317460315,0.2742594969809347,72.33333333333334,9.5,2.333333333333333,0.19444444444444442,104.33333333333333,7.5,5.333333333333333,0.4444444444444444,100.33333333333333,11.0,4.333333333333333,0.3611111111111111,26,6,12,37,45,24,9,27,9,1,0,33
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-95,split-generic,264,262,156,0.8910256410256411,0.8141025641025641,0.4358974358974359,59,0.4645669291338583,1.2352941176470589,1.3977272727272727,154,17,87,7,8,0.28685548293391433,0.16895943562610227,0.2222222222222222,104.33333333333334,10.0,7.0,0.875,63.83333333333333,6.0,0,0.0,93.83333333333333,1.0,1.0,0.125,5,1,0,2,21,5,0,1,5,0,0,21
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-95,split-specialist-aligned,262,262,156,0.8782051282051282,0.8269230769230769,0.4551282051282051,58,0.4496124031007752,1.1578947368421053,1.3058823529411765,156,19,85,9,2,0.196969696969697,0.17166236003445304,0.18673469387755104,98.0,3.0,4.0,0.26666666666666666,85.5,9.0,6.0,0.4,78.5,7.0,5.0,0.3333333333333333,4,6,0,2,24,7,7,2,4,0,0,22
